"old","new"
"異なる道を選ばれた覚者さま
こちらではわたしがご案内いたしましょう","Dear Arisen, who have chosen a different path, let me guide you here."
"戦技の変更はもとより
《レアアイテムの鑑定》、そして
《黒呪装具の効果封印》も
わたしに心得がございます","Not only can I change your combat techniques, but I also have knowledge of ""Rare Item Appraisal"" and ""Bitterblack Equipment Effect Seal."""
"姿形が変わってもあなたがあなたであるように
進む道が変わっても、ある側面からは
“同じ”ことと言えるでしょう","Even if your appearance changes, you will still be yourself.
Even if the path you take changes, from one perspective,
it can be said that it's ""the same"" thing."
"会話をお望みなのですね
――それでは、わたしから
質問をさせていただいてもよろしいでしょうか","You wish to have a conversation, don't you?
- In that case, may I ask you some questions on my end?"
"――竜に心臓を捧げたことを
後悔されてはいませんか？
今まで――ただの一度も――？","Have you ever--ever--regretted giving your heart to a dragon?
Ever... not once...?"
"白竜様よりお預かりした加護――
三たび、あなたが立ち上がるための
《復活力》としてお渡しいたします","From the White Dragon, I have received a blessing—
For the third time, I shall bestow upon you
the power of revival to rise once again."
"覚者様――申し訳ございません
すでに本日の《復活力》の加護を受けられています
加護を受けられるのは１日に１度だけなのです","Master Arisen, I apologize.
You have already received today's blessing of ""Revival Power"".
You can only receive the blessing once a day."
"――覚者様は《復活力》の加護で
満たされていらっしゃいます
今、新たな復活力は必要ないかと","— You, Arisen, are currently filled with the blessing of ""Revival Force"". Do you need more revival power right now?"
"まだいくらかの《復活力》の加護が
覚者様を守っているようです
今ある復活力を捨て、新たなものを
必要とされていますか？","It seems that there's still some ""Revival Force"" protecting you, Arisen. Are you willing to discard the existing revival force and seek a new one if needed?"
"はい","Yes"
"いいえ","No"
"全てはあなた次第
暗き道を切り開かれますよう――","It's all up to you. May you make your way through the dark."
"覚者様、呪われし迷宮へようこそ
わたしはこの迷宮の案内人","Arisen, welcome to the cursed Bitterblack Maze. I am the guide of this labyrinth."
"本来は交わることのない世界の交錯により
姿を現してしまった迷宮","This maze appeared as a result of the collision of worlds that should never have intersected."
"この先にある入口がどこへと続くのかは
わたしにもわかりません","I also don't know where the entrance ahead leads to."
"入り江に響くのは数えきれない魔物たちの声
そして覚者たちの叫び――","The wind is blowing—This is a tailwind—oh, I can feel it."
"仲間と共に挑むか、戦徒を従え進むか
全てはあなた次第です","While dealing with the enemy's offensive, we must also explore the ways to defeat the ""Evil Dragon."" In the face of the enemy's offensive, it is necessary to not only deal with it but also explore ways to defeat the ""Evil Dragon."""
"わたしはこの場所で、できる限りの
手助けをいたしましょう","I will provide as much assistance as possible in this place."
