#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
0,,"ほう――
すでにすべての《竜力の継承》を
終えているようだぞ","Hmm...
You have already completed the ""Dragon Force
Augmentation"" inheritance, haven't you?",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,219
0,,"ほう、
《<VAL>》
を持ってきたのか
これはまた貴重な物を手に入れたものだ","Wow,
You brought 《<VAL>》!
This is another valuable thing you've got.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,192
0,,"ほう、《「LV.80」成長の宝珠》を持ってきたのか
これはまた貴重な物を手に入れたものだ","Oh, you brought the 《LV.80 Orb of Growth》
This is quite a valuable item that you've
obtained.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,149
0,,"ほう、これは
《<VAL>》
だな","Well, this is
《<VAL>》
",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,214
0,,"ほら、そんな顔をするな
あくまでも可能性の話だ","Don't make that face.
It's just a discussion of possibilities.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,139
0,,"まさかレオまで――
いや、それはあるまい――なあ？","No way, not even Leo-- No, that's not-- hey?",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,51
0,,"まずは王子が戻らないことには
どうにも動きようがないな","First of all, if the prince doesn't come back,
there's no way to make a move.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,104
0,,また落ち着かない日々が始まるようだな,Looks like another restless day ahead.,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,59
0,,"もう一刻の猶予も許されないのだろう
さあ、行ってくれ","I guess there is no time left for another moment
of delay.
Now, please go.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,133
0,,"もし時間があるのなら
たまにでいいから、島の様子を見てくれよ","If you will it, you should become the person to
wield the Sword of Radiance.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,81
0,,"もちろん王子の安全をいち早く確保して
気持ちを尊重すべく話し合うことも重要だ","Of course, it is important to promptly ensure the
prince's safety and have respectful discussions.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,142
0,,"やはりわたしも一度はアッカーシェランを
訪ねる必要があるようだ","It seems that I also need to visit Acre Selund at
least once.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,148
0,,"わしほどの激動を生きた神官はいないだろうが
はて、喜ぶべきか嘆くべきか――","There could be no priest who has experienced such
turmoil as I have. Well, should I rejoice or
should I lament?",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,10
0,,"アークの攻略方法はわたしにまかせて――
ほら、今のうちに休んでおけ","Leave the strategy for the Ark to me - Now, go
and rest while you can.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,48
0,,"アークを送り込みんできた者の名は――
いや、やめておこう","The name of the person who sent the Ark is - No,
let's stop here.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,38
0,,イリスは本当に大丈夫なのか？,Is Iris really okay?,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,27
0,,イリスを通じて敵を知る――ひとつの方策だ,"Using Iris to understand the enemy――a single
strategy.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,35
0,,"オーク臭いようだな
神殿では気をつけた方がいい","I smell orcs in the air. You better be careful in
the temple.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,15
0,,"ガルドリン、リズ、エリオットをうまく使って
この困難を乗り切ってくれ
むろん、わたしにできることはなんでもする","Use Gurdolin, Lise, and Elliot effectively to
help us overcome this difficulty Of course, I will
do anything I can.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,60
0,,"キースヒルトか――
ここで暮らしてくれれば安心なのだが
あの種族は偏屈だからな――","Kieshildt―― If they live here, we can feel at
ease But that species is obstinate――",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,34
0,,"スキルの確認は落ち着いてからにしなさい
よし、最後はアビリティか
――目を閉じて集中するのだ","Check your skills only after you've calmed down.
Okay, the last thing you need is abilities.
--Close your eyes and concentrate.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,158
0,,"セシリーが一命を取り留めた
憂いがひとつ消えたというわけだ
再び、前へ進もうではないか",Leave the rest to your pawn.,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,80
0,,"セシリーにはよくしてやるのだぞ？
ぜひ、強い友情の絆を結んでくれ
少々の利害の対立などに負けぬ、強い絆を","Not to be swayed by an invisible enemy, to search
for the truth while focusing on the enemy.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,89
0,,セシリーの場合はどのような事情なのだろうな,"I wonder what the circumstances are in Cecily's
case.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,74
0,,"セシリーは重い責任に押し潰されそうに
なってはいないか？
側にいて、支えてやるといい","Now, take a break. Your role is far from over.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,90
0,,"フィンダムのことはフィンダムの民たちが
よく知っているだろう","What the Arisen does - That is the final hope of
Lestania.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,85
0,,"フィンダムの完全な復興には
まだまだ時間がかかるだろう
時々訪ねて、経過を報告しておくれ","The complete recovery of Phindym will still take
a long time. Please check in occasionally and
report on the progress.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,97
0,,"フィンダムの汚れとともに
あの男の闇も浄化されるだろうよ","Together with the earth of Phindym,
his darkness will also be purified.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,96
0,,"ブラッドオーブは続々と集まっているが
効果は薄いと言わざるをえないのだ","Blood orbs are gathering one after another, but
it must be said that their effectiveness is weak.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,130
0,,"ポーンとの契約は進んでいるか？
終わればいよいよ一人前の覚者だな","Is the contract with the Pawn progressing? Once
it's finished, you'll finally become a
full-fledged Arisen.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,19
0,,"ミシアルは最近のイリスにまつわる
うわさを知っていた",Mysial knew the recent rumors about Iris.,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,49
0,,"メイリーフの正体は他言無用
約束だからな",Mayleaf's true identity is a secret it's a promise,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,25
0,,メイロワ将軍とはうまくやれそうか？,"Do you think you and General Meirova will get
along well?",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,103
0,,"メイロワ将軍も策を講じていることだろう
しのぎきれば未来は明るいぞ","General Meirova is also likely taking measures
If we endure, the future will be bright",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,114
0,,"リズから聞いたところによると
ネド王子が行方不明なのだとか
しかも自分の意志で城を出たらしい","According to what Lise told me,
it seems that Prince Nedo is missing,
and furthermore, he seems to have left the castle
on his own accord.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,136
0,,レオが悩んでいるようだが――,Leo seems to be having trouble--,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,29
0,,"レオとは会えたか？
わたしが心配していたと伝えてくれ",Did you see Leo? Tell him I was worried.,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,54
0,,レオの姿が見えないがじきに戻るだろう,"No sign of Leo, but he'll be back soon.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,56
0,,"レオはまだか？
今後のこととイリスの処遇を相談せねばならん
見かけたら、すぐここへ来るように言ってくれ","Is Leo here yet? We need to discuss future plans
and how to handle Iris. If you see him, tell him
to come here immediately.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,47
0,,レオは何か言ってこないのか？,Leo didn't say anything?,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,67
0,,"レスタニアの未来は文字どおり
おまえたちの活躍にかかっている",The future of Lestania depends on your actions,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,131
0,,"ロイグとセシリーの記憶合わせが
不調に終わってから
嫌な予感しかしないのだ",Go and defeat the leader of the Arch-Corruption,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,77
0,,"ロイグのことは聞いた
なんとも無念ではあるが――","I heard about Loeg
It is truly regrettable but - -",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,95
0,,"ロイグの病気がわたしの知るものであれば
相当苦しいはずだ
早く助けてやりたいものだな","If Loeg's illness is what I think it is he must
be in a lot of pain I'm thinking of getting
involved personally.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,75
0,,"今は――
セシリーを疎ましく思ったことを恥じて
回復を祈るばかりだ","Eliminating the core should disperse the
Corruption demons.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,78
0,,今一度会い、真意を聞いてみたいものだ,"I would like to see him again and hear his true
intentions.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,94
0,,"会議に参加したい？
それよりも戦いの準備を進めてくれ","Do you want to attend the meeting? Please focus
on preparing for the battle instead.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,43
0,,"会議の長さに不満が出ていることは知っている
しかし、事はレスタニアの未来に
大きく影響するだろう","I am aware that there is dissatisfaction with the
length of the meeting. However, this matter will
greatly impact the future of Lestania.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,45
0,,何か心配事でも？,What's worrying you?,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,0
0,,"何が起こっていようとも
我々が当事者でなければ良いと思っていたが
案の定、焼け石を拾ってしまったようだ","Regardless of what may happen, we had hoped that
we wouldn't be involved, but sure enough, it seems
like we've picked up a burnt stone.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,61
0,,"侵食魔どもめ――
奴らのせいでじっくり考える事もできん","Those invaders-- they're the reason I can't even
think straight.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,69
0,,"協力を惜しむ必要はないが
レスタニアの利を忘れるなよ","There is no need to be stingy with collaboration,
but don't forget about the benefit of Lestania.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,110
0,,"危険は避けられないとしても
無謀な行動は慎むのだぞ","Even though danger is inevitable,
you must refrain from reckless behavior.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,122
0,,"問題は幾つもあるが
せめて侵食魔だけでも排除できないものだろうか
そうなれば人員配置が楽になるのだが","There are a number of problems, but can we at
least eliminate the Corruption demon? That would
make manpower allocation a lot easier.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,66
0,,"奪われた《原始の雫》――
多少出過ぎた真似をしてもかまわんから
必ず取り戻すのだぞ","The Arisen must fight to protect the land. All we
can do is believe.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,88
0,,"奪われた城を取り戻すという悲願の成就
解放軍の面々はさぞ喜んでいるだろう","The fulfillment of the long-held dream of
regaining the castle that was taken from us
I'm sure the liberation army is very happy to see
you.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,123
0,,"宝珠の力を解放したぞ
本来の効果は得られずとも
解放した力は大地を巡り
またいつの日かおまえの元へ戻るだろう","I have unleashed the power of the Orb.
Even if the original effect cannot be obtained,
The unleashed power will traverse the land,
And one day, it will surely return to you.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,191
0,,"宝珠の力を解放することで
各地とおまえの結び付きは
より強固なものとなるだろう","By releasing the power of the Orb,
your ties to the regions will
grow stronger.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,190
0,,"宝珠の力を解放するには少し時間がかかる
パーティーは一度解散してきた方がよかろう
パーティーメンバーを無暗に
待たせてしまうかもしれん","It may take a little time to unleash the power of
the treasure.
It would be better for the party to disband once
and come back.
You may end up keeping the party members waiting
unnecessarily.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,161
0,,"宝珠の力を解放するには少し時間がかかる
パーティーは一度解散してきた方がよかろう
パーティーメンバーを無暗に
待たせてしまうかもしれん","It may take a little time to unleash the power of
the treasure.
It would be better for the party to disband once
and come back.
You may end up keeping the party members waiting
unnecessarily.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,197
0,,"弱っているところをああも露骨に見せるのは
いかがなものかな――","Is it really necessary to make one's weaknesses
so obvious...",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,30
0,,"当面の目的であったネド王子の救出は
思惑通りに終わったわけだが――","The rescue mission of Prince Nedo, which was the
immediate objective, has ended as planned.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,107
0,,"思えば、わたしの記憶の中の白竜は
いつも病み、苦しんでいた
しかし、これほど痛ましい状況は初めてだ","Looking back, the White Dragon in my memories
was always sick and suffering
However, this is the first time I have witnessed
such a painful situation.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,132
0,,"悠々と、ただそこにある世界を前に――
我々はなんと小さく、稚拙な存在なのだろうな","In front of the serene and simply existing
world-- We are so small and immature, aren't we?",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,9
0,,想像するとわたしまで頬が緩むわ,I can't help but smile when I think about it.,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,124
0,,慌てて結論に飛びついてはいかんのだ,We shouldn't jump to conclusions in a hurry.,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,46
0,,"我々で迎えることができてうれしいよ
ああ、これは本心だ","I'm glad we can welcome you here. Ah, this is
sincere.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,42
0,,"我々は常に己を律し、不測の事態に備えねばならん
わかってはいるが――なかなか、なぁ","We must always discipline ourselves and be
prepared for unforeseen circumstances. I
understand this, but... it's quite difficult.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,5
0,,指示や助言をしようにも情報が足りんわ,"Even if I try to give instructions or advice,
there is not enough information.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,101
0,,敵の攻勢は予想通りだ,The enemy's offensive is predictable.,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,113
0,,"敵の砦に乗り込むと聞いている
くれぐれも気をつけてな","I hear you're going to ride into an enemy
stronghold.
Take care.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,106
0,,"日がな一日ここに立ち、竜を思い、政を思う
おまえたちを思う時間はほとんどないが、まあ許せ","I stand here all day long, thinking about dragons
and thinking about politics. I don't have much
time to think about you all, but well, it's
forgivable.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,11
0,,"時に、ロイグの行方はまだわからんのか
もしや救いを求めているということはないか？","Sometimes, is it still unknown where Loeg is.
Is it possible that he is seeking salvation?",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,93
0,,時間を見つけて外へ出てみるんだな,"Find some time and go outside and see for
yourself.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,16
0,,"機先を制するには腰を据えた思索が
不可欠だというのに――","In order to take the lead, it is crucial to
engage in in-depth contemplation and reflection.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,70
0,,"次から次へと――どうしてくれようか
オークどもの対処だけでも大変なのに
今度はアークだと？","From one thing to another―― how are we supposed
to handle this? Just dealing with the orcs
themselves is already tough enough, and now it's
the Ark?",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,23
0,,次の動きが気になるところだな,I'm curious about the next move.,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,108
0,,"気になることがあるのなら
さっさと解決しておくことを薦めるよ","If there is something on your mind, I recommend
resolving it promptly.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,1
0,,"無事LV.80になったようだぞ
さて、次はスキルだな
――もう一度目を閉じるがよい","It seems like I've safely reached level 80.
Now, it's time for skills.
―― Close your eyes once again.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,157
0,,"状況が変われば考え方を変える
その柔軟さが美点だったが――
それすらも変わってしまったのだろうか","If the situation changes, change your way of
thinking That flexibility was a virtue, but- Has
that even changed too?",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,68
0,,"狙われるのはメイリーフだけではない、とな
自分の身勝手さに驚くしかなかったよ","It was not only Mayleaf who was targeted. I could
only be surprised by my own selfishness.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,40
0,,理の外の世界――,The world outside of Order--,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,12
0,,"異郷の地にひとり残るとは
エリオットの評価を改めねばならんな","To remain alone in a foreign land,
I'll have to revise my assessment of Elliott.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,100
0,,異郷の姿、その目でしかと見届けよ,"Even if it is possible that the spirits of the
young trees in the forest may be the spirits of
your hometown, I think the only thing you can do
right now is hope and pray.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,82
0,,"白竜の意思を完全に理解することは難しい
たとえ巫女でもな","It is difficult to fully understand the
intentions of the White Dragon, even if one is a
priestess.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,4
0,,"白竜はフィンダムの精霊竜ウィルミアに
語りかけようとしているがうまくいかないようだ","The rest-- that is the responsibility of The
White Dragon and the task of The White Dragon.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,91
0,,"白竜様へはおまえから報告するといい
つもる話はそれからでも遅くはない","It is best to report to The White Dragon
personally. There is no harm in talking about it
later.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,57
0,,短期決戦と相成ればよいが,I hope it's a short war.,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,112
0,,砦との往復は何度目だ？,How many times have you been to the fort and back?,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,21
0,,"砦に限らず、あちこち自分の足で
行ってみることが大切だ
地図を眺めていても頭に入らんだろうからな","It is important to go and see for yourself, not
just in the fortress but also in various places.
Even if you look at the map, it won't make sense
in your head.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,22
0,,"竜と竜力、そして大地の恵みが不可分で
ある以上、竜のいない大陸は
考えられない","Dragon and Dragon Force, along with the blessings
of the earth, are inseparable. Therefore, a
continent without dragons is unimaginable.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,145
0,,"竜の意志を紡ぐこと
それが我らを災いから救うのだ","To weave the will of the dragon That is what will
save us from disaster",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,7
0,,"精神的な強い衝撃が人の記憶を奪うという
話は昔から知られている","The story of a strong psychological impact that
robs people of their memory has been known since
ancient times.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,73
0,,"聞こえてくる話から想像するに
ネド王子の性根は悪くなさそうだ
友好的な関係を築いてくれよ","From the stories I hear, it seems that Prince
Nedo is not a bad person at heart. He has built
friendly relationships.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,105
0,,"自分に言い聞かせようとしているが
なかなか――な","I'm trying to tell myself that
but it's not easy to--",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,99
0,,落ち着け――落ち着くのだ,Calm down――You need to calm down.,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,129
0,,"見たところセシリーは、無垢な心を持った
乙女という風情だが――","From the looks of it, Cecily has the air of a
maiden with an innocent heart...",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,62
0,,"覚者に力を与えたぶんだけ
白竜自身の回復が遅れる――
そう考えることもできる","For the Arisen, the more power they are given,
the slower The White Dragon's recovery becomes— It
can be thought of that way.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,32
0,,"覚者のことは覚者に任せるしかない
よく見ていてやるんだぞ","We have to let the Arisen take care of the
Arisen. You're going to have to watch them very
closely.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,28
0,,"覚者の本分は白竜の回復を助けることだ
――ゆめゆめ忘れるなよ","The Arisen's true duty is to aid in the recovery
of The White Dragon. - Never, ever forget that.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,33
0,,"覚者よ、頼んだぞ
おまえたちの働きが大勢を決める","Arisen, I'm counting on you. Your work will
determine the outcome for many.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,6
0,,"覚者を育てるのは、結局のところ経験だ
いや、これは覚者に限らないがな","The cultivation of an Arisen ultimately comes
down to experience. No, this applies not only to
Arisens.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,17
0,,"解放軍が勢い付いたことで
アッカーシェランの混乱はますます
拡大するだろう","With the recent momentum gained by the People's
Liberation Army, the chaos in Acre Selund is
expected to further escalate.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,111
0,,"解決の方法も、何かあるのかもしれない
うまく聞きだして、手助けしてやりなさい","I will do everything I can. At the very least, I
will support you with my prayers.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,86
0,,"言うまでもないことだろうが――
城の奪回はそう簡単なことではないだろう","I guess it goes without saying--
Taking back the castle won't be so easy.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,121
0,,誇り高き孤独な魂――,"Proud, lonely souls--",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,41
0,,"賛成しかねるが――
無為なことと断じるつもりもない","I cannot agree, but I have no intention of
calling it meaningless.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,31
0,,"近々、ある調査団を派遣することになってな
その人選で、いささか多忙だ","I'm sending a survey team soon and I'm somewhat
busy with the selection process.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,18
0,,"頼むぞ
レオとおまえの間にどんな絆が――
あるいは確執があるのかは知らんが
今はセシリーを助けることを最優先してくれ","If we defeat the leader of the Corruption demons,
the power of the Corruption should dissipate.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,79
0,,"首尾はどうだ？
朗報を待っているぞ",How'd it go? I'm waiting for good news.,ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,72
0,,"騎士団と覚者が力を合わせて戦えば
勝てぬ相手などおらん――","When the knight order and the Arisen join forces
and fight together, There is no opponent we cannot
defeat.",ui\00_message\npc\base\n0004.gmd,\npc\n0004.arc,n0004.arc,64
0,,"いいのか――
俺たち覚者はこのままでいいのだろうか――","Is this okay――
Are we, the Arisen, fine as we are――",ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,23
0,,"おまえは感じたことはないか？
自分の真ん中を貫く、熱いモノ――
それが揺らぎ、壊れてしまう不安を","Have you ever felt it?
The intense thing that pierces through your core -
The uncertainty that wavers and breaks.",ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,8
0,,この仕打ちは――なんだ――,What is this strike- what is it?,ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,40
0,,"ご苦労だったな
とりあえず今は何もない","You went through a lot of trouble.
For now, there is nothing.",ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,20
0,,"その男がアークを送り込み――
ズールを使ってオークを取りまとめ――
イリスの正気とキースヒルトの命を奪った――","The man sent the Ark--
using Zuhl to gather the Orcs--
and took away Iris's sanity and Kieshildt's life--",ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,35
0,,どうした、深刻な顔だな,What's wrong? You look serious.,ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,0
0,,どうした。俺には遠慮は無用だ,What's wrong? No need to hesitate with me.,ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,10
0,,どこにいる――今すぐにでも倒してやる！,Where are they - I'll take them down right now!,ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,37
0,,やるべきことをやろう――お互いにな,Let's do what we have to do--for each other.,ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,5
0,,"よし、今後、あの子のことは
おまえに任せるとしよう","All right,
I'll leave her in your hands from now on.",ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,19
0,,アークの話は知っているか？,Do you know the story of the Ark?,ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,16
0,,"イリスのことは俺にまかせてくれ
長い付き合いだ","I'll take care of Iris.
We've known each other a long time.",ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,28
0,,"イリスの件で動いてくれたそうだな
俺からも礼をいう
世話になった","I've heard that you took action regarding the
matter concerning Iris.
I also want to say thank you.
I appreciate your assistance.",ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,22
0,,キースヒルトの死はけして無駄ではない,The death of Kieshildt is by no means in vain.,ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,32
0,,"ジョゼフが最善を尽くそうとしていることは
わかっているが――さすがに焦れるな","I understand that Joseph is doing his best, but-
understandably- he gets impatient.",ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,38
0,,ディアマンテス――,Diamantes--,ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,34
0,,メイリーフがなついているようだな,Looks like you've got a soft spot for Mayleaf.,ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,18
0,,"メイリーフも普通の娘ではないから
そう簡単に敵の手に落ちたりはしないだろう","Mayleaf is not an ordinary girl, so she wouldn't
easily fall into the hands of enemies.",ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,26
0,,休むか遊ぶか――好きにしてくれ,Rest or play――do as you please.,ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,21
0,,体は常に鍛えておけよ,You've got to keep your body in shape.,ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,2
0,,"何者だ、ディアマンテス――
いや、聞いたことはある
レスタニアを繁栄の世界から戦場に変えた
張本人――","Who are you, Diamantes--
No, I've heard of you before.
You're the one who turned Lestania from a
prosperous world into a battlefield,
The mastermind--",ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,36
0,,"多少無理をしてでもメイリーフを
連れ戻して欲しかったが――
まあ、今はそのキースヒルトを信じるしか
ないようだな","No matter how unreasonable it may be, I wanted
you to bring Mayleaf back...
Well, it seems like now I have no choice but to
believe in Kieshildt.",ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,25
0,,"彼女の信頼を裏切るような者がいれば
話は別だが――","If there is someone who betrays her trust, it's a
different story...",ui\00_message\npc\base\n0005.gmd,\npc\n0005.arc,n0005.arc,27
