0,,"ここまでめちゃくちゃになったら
もう何も信じられねぇ
信じたヤツから死んでくんだからよ","Once it becomes completely chaotic, I can't
believe in anything anymore.
Because death awaits those whom I believed in.",ui\00_message\npc\base\n2804.gmd,\npc\n2804.arc,n2804.arc,1,Orhan
0,,"あんたも命が惜しけりゃ慎重にいくことだ
俺からはそれくらいしか言うことは無いな","If you value your life, you should proceed with
caution.
That's all I have to say.",ui\00_message\npc\base\n2804.gmd,\npc\n2804.arc,n2804.arc,2,Orhan
0,,"俺なんか、もう命くらいしか
無くして惜しいものも無いからよ
――こればっかりはな","As for me, I don't really have anything left to
lose except my life – it's all I've got left.",ui\00_message\npc\base\n2804.gmd,\npc\n2804.arc,n2804.arc,3,Orhan
0,,"俺に何度も話しかけてどうするつもりだ？
懐に入り込んで、なけなしの金でも
毟り取るつもりか？","What's the point of talking to me repeatedly?
Do you plan to get into my pocket and take even
the last bit of money I have?",ui\00_message\npc\base\n2804.gmd,\npc\n2804.arc,n2804.arc,4,Orhan
0,,"ふん、まぁ――
ここなら――","Hmph, well...
If it's here...",ui\00_message\npc\base\n2804.gmd,\npc\n2804.arc,n2804.arc,5,Orhan
0,,"――もう、いつこの人生が終わるかって
これ以上何にも奪われたくないって
そんなことしか考えてなかったんだが","I've been thinking only about when this life will
end, and how I don't want anything else to be
taken away from me.",ui\00_message\npc\base\n2804.gmd,\npc\n2804.arc,n2804.arc,6,Orhan
0,,"こうして取り戻せたものもあるし
もう少し、生きる努力をしてみても
いいのかもな","There are things that can be regained like this,
so it might be worth trying a little harder to
live.
Yes.",ui\00_message\npc\base\n2804.gmd,\npc\n2804.arc,n2804.arc,7,Orhan
0,,"いや、でも俺は信じねえぞ
期待すると後が辛い
何が起こっても
「覚悟はできてた」って思いてぇんだ","No, but I don't believe in it.
Expectations only lead to bitterness in the end.
No matter what happens, I want to think, ""I was
prepared for this.""",ui\00_message\npc\base\n2804.gmd,\npc\n2804.arc,n2804.arc,8,Orhan
0,,"昔のこと思い出しても
良いことねぇな","Even when I remember the things from the past,
there's nothing good about it.",ui\00_message\npc\base\n2804.gmd,\npc\n2804.arc,n2804.arc,9,Orhan
0,,"――あ、はい
何でしょう","- Ah, yes.
What is it?",ui\00_message\npc\base\n2805.gmd,\npc\n2805.arc,n2805.arc,0,Carlotta
0,,少し、疲れて――,A little tired...,ui\00_message\npc\base\n2805.gmd,\npc\n2805.arc,n2805.arc,1,Carlotta
0,,家族のことを想うと――,When I think about my family...,ui\00_message\npc\base\n2805.gmd,\npc\n2805.arc,n2805.arc,2,Carlotta
0,,どうしようも、なかったんです――,There was nothing I could do...,ui\00_message\npc\base\n2805.gmd,\npc\n2805.arc,n2805.arc,3,Carlotta
0,,"――ぐすっ
ああ、すみません","- Sniff
Oh, I'm sorry.",ui\00_message\npc\base\n2805.gmd,\npc\n2805.arc,n2805.arc,4,Carlotta
0,,家族のことが頭をよぎって――,Thoughts of my family crossed my mind...,ui\00_message\npc\base\n2805.gmd,\npc\n2805.arc,n2805.arc,5,Carlotta
0,,"――私も解放軍の一員なのですから
皆さんのために、何かするべきでしょうね","――Since I'm also a member of the Liberation Army,
I should do something for everyone's sake.",ui\00_message\npc\base\n2805.gmd,\npc\n2805.arc,n2805.arc,6,Carlotta
0,,"はぁ――
もう少しだけ、一人でいても良いでしょうか","Sigh――
Is it alright if I stay alone for a little longer?",ui\00_message\npc\base\n2805.gmd,\npc\n2805.arc,n2805.arc,7,Carlotta
0,,"ごめんなさい
話をするのが億劫で――","I'm sorry.
It's too much of a hassle to talk...",ui\00_message\npc\base\n2805.gmd,\npc\n2805.arc,n2805.arc,8,Carlotta
0,,"あ――
な、なんでしょう――","Ah...
W-what is it...",ui\00_message\npc\base\n2806.gmd,\npc\n2806.arc,n2806.arc,0,Boris
0,,"ここに匿ってもらえて、心底感謝しとります
もう、帰る家も無くなったものですから――","I am deeply grateful for being able to hide here.
I no longer have a home to return to...",ui\00_message\npc\base\n2806.gmd,\npc\n2806.arc,n2806.arc,1,Boris
0,,"家も、家畜も、今頃全部灰になっているでしょう
――大変な思いをして手に入れてきた財産でした","The house, the livestock, they must all be turned
to ashes by now.
It was a fortune that we obtained after going
through great hardships.",ui\00_message\npc\base\n2806.gmd,\npc\n2806.arc,n2806.arc,2,Boris
0,,"何よりも気がかりなのは
離ればなれになった妻のことでして――
ここに一緒にいられたら、それだけで
どんなに気が楽だったか","The most worrisome thing is the separation from
my wife – it would have been so much more
reassuring if we could have been together here.",ui\00_message\npc\base\n2806.gmd,\npc\n2806.arc,n2806.arc,3,Boris
0,,――何か？,—What is it?,ui\00_message\npc\base\n2807.gmd,\npc\n2807.arc,n2807.arc,0,Mona
0,,"ここにもきっとすぐにオークたちが来る――
こんな貧弱な拠点、一たまりも無いわ","The orcs will surely come here soon... This weak
base is worth nothing.",ui\00_message\npc\base\n2807.gmd,\npc\n2807.arc,n2807.arc,1,Mona
0,,"オークが攻めてきたら
こんなテントで寝起きしてる私たちなんて
真っ先に殺されるでしょうね
せめて小屋に入れてもらえないかしら――","If the Orcs were to attack, we, who are sleeping
in such a tent, would surely be killed first,
wouldn't we?
I wonder if they could at least let us into a
cabin...",ui\00_message\npc\base\n2807.gmd,\npc\n2807.arc,n2807.arc,2,Mona
0,,"もっとしっかりした拠点、どこかに無いかしら
良いところがあれば、そっちに移りたい――","I wonder if there's a more solid base somewhere.
If there's a good place, I'd like to move there...",ui\00_message\npc\base\n2807.gmd,\npc\n2807.arc,n2807.arc,3,Mona
0,,よう、元気してる？,"Hey, are you doing well?",ui\00_message\npc\base\n2850.gmd,\npc\n2850.arc,n2850.arc,0,Felix
0,,"休んでいくなら<VAL PRICE_INN>だ
見ての通り、ここって色んな店があるから
ちょっと騒がしいけど――耳栓も貸し出すからさ
それでもいいかい？","If you want to rest, it's <VAL PRICE_INN>.
As you can see, there are various shops here, so
it might get noisy, but we can provide earplugs if
you'd like.",ui\00_message\npc\base\n2850.gmd,\npc\n2850.arc,n2850.arc,1,Felix
0,,はい,OK,ui\00_message\npc\base\n2850.gmd,\npc\n2850.arc,n2850.arc,2,Felix
0,,いいえ,Cancel,ui\00_message\npc\base\n2850.gmd,\npc\n2850.arc,n2850.arc,3,Felix
0,,"ああ、休みたいのか
えーっと、ベッドは空いてるな――
サービスしとくぜ、好きに使ってってくれ","Ah, do you want to take a break?
Um, the bed is available...
I'll provide the service, so use it however you
like.",ui\00_message\npc\base\n2850.gmd,\npc\n2850.arc,n2850.arc,4,Felix
0,,はい,OK,ui\00_message\npc\base\n2850.gmd,\npc\n2850.arc,n2850.arc,5,Felix
0,,いいえ,Cancel,ui\00_message\npc\base\n2850.gmd,\npc\n2850.arc,n2850.arc,6,Felix
