#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
0,DRAGON_SKILL_INFO_1,"戦闘中、物理攻撃力／魔法攻撃力／物理防御力／魔法防御力が増加する
<COL ffdc78>LV UP毎にステータスアップ効果がより上昇</COL>","During battle, Physical Attack/Magick Attack/
Physical Defense/Magick Defense are increased.
<COL ffdc78>LV UP Further increases the effectiveness.</COL>",ui\00_message\dragon_skill\skill_info.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,0
1,DRAGON_SKILL_INFO_2,"アバドーンの弱点部位に一定量のダメージを与えると
大ダメージを与える追撃が発生する
<COL ffdc78>LV UP毎に追撃のダメージがより増加</COL>","Deal a great amount damage to Abaddon after you inflict
a certain amount of damage to its weak point.
<COL ffdc78>LV UP Further increases bonus damage.</COL>",ui\00_message\dragon_skill\skill_info.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,1
2,DRAGON_SKILL_INFO_3,"バフォメットの弱点部位に一定量のダメージを与えると
大ダメージを与える追撃が発生する
<COL ffdc78>LV UP毎に追撃のダメージがより増加</COL>","Deal a great amount damage to Baphomet after you inflict
a certain amount of damage to its weak point.
<COL ffdc78>LV UP Further increases bonus damage.</COL>",ui\00_message\dragon_skill\skill_info.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,2
3,DRAGON_SKILL_INFO_4,"黒騎士の弱点部位に一定量のダメージを与えると
大ダメージを与える追撃が発生する
<COL ffdc78>LV UP毎に追撃のダメージがより増加</COL>","Deal a great amount damage to Black Knight after you inflict
a certain amount of damage to its weak point.
<COL ffdc78>LV UP Further increases bonus damage.</COL>",ui\00_message\dragon_skill\skill_info.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,3
4,DRAGON_SKILL_INFO_5,"黒竜の弱点部位、または黒竜により召喚された竜晶に
一定量のダメージを与えると、大ダメージを与える追撃が発生する
<COL ffdc78>LV UP毎に追撃のダメージがより増加</COL>","Deal a great amount damage to Black Dragon and the summoned
Dragon Crystal after you inflict a certain amount of damage
to them.
<COL ffdc78>LV UP Further increases bonus damage.</COL>",ui\00_message\dragon_skill\skill_info.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,4
5,DRAGON_SKILL_INFO_6,"大ダメージを受けるアバドーンの攻撃＜キラーアルベ＞の
ダメージを軽減する。残り体力が少ない場合は発動しない
<COL ffdc78>LV UP毎にダメージをさらに軽減</COL>","Reduces damage of fatal attacks from Abaddon. Does not activate
if your health is low.
<COL ffdc78>LV UP Further reduces damage.</COL>",ui\00_message\dragon_skill\skill_info.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,5
6,DRAGON_SKILL_INFO_7,"敵が攻撃を放ったタイミングで、攻撃してきた部位や周囲の
弱点部位を攻撃すると《精霊竜の反撃アイコン》が増加する
アイコンが満了になると破壊可能部位へのダメージが大幅に増加する
<COL ffdc78>LV UP毎にダメージがより増加</COL>","When enemy strikes, attacking the part used by the attack
will increase the ""Spirit Dragon Counterattack Gauge"".
When the gauge is full, damage to destructible parts
is greatly increased.
<COL ffdc78>LV UP Further increases bonus damage.</COL>",ui\00_message\dragon_skill\skill_info.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,6
7,DRAGON_SKILL_INFO_8,"闇炎の状態異常にかかった際に回復までの時間を短縮する
回復までの時間は、付与される毎にやや増減する
<COL ffdc78>LV UP毎に回復までの時間がさらに短縮</COL>","Shorten the recovery time of Dark Flame debilitation. The time
needed slightly increases or decreases each time this is triggered.
<COL ffdc78>LV UP Further shortens the recovery time.</COL>",ui\00_message\dragon_skill\skill_info.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,7
8,DRAGON_SKILL_INFO_9,"敵の＜魔法攻撃力上昇＞に合わせて
魔法攻撃のダメージを無効化するバリアを展開する
バリア展開中は筋力／魔力／疲労攻力／チャンス攻力が増加するが
魔法攻撃を受けるか時間経過によりバリアの耐久値は減少する
<COL ffdc78>LV UP毎にステータスアップ効果／バリアの耐久値がより上昇</COL>","Create a barrier to disable the ""Magick Attack Increase"" buff
from enemy. While inside the barrier, Strength/Magick/
Chance Attack/Exhaust Attack are increased. The durability of the
barrier deteriotates over time and magick damage taken.
<COL ffdc78>LV UP Further increases the stat bonus and duration
of the barrier.</COL>",ui\00_message\dragon_skill\skill_info.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,8
9,DRAGON_SKILL_INFO_10,"敵の＜物理攻撃力上昇＞に合わせて
物理攻撃のダメージを無効化するバリアを展開する
バリア展開中は筋力／魔力／疲労攻力／チャンス攻力が増加するが
物理攻撃を受けるか時間経過によりバリアの耐久値は減少する
<COL ffdc78>LV UP毎にステータスアップ効果／バリアの耐久値がより上昇</COL>","Create a barrier to disable the ""Physical Attack Increase"" buff
from enemy. While inside the barrier, Strength/Magick/
Chance Attack/Exhaust Attack are increased. The durability of the
barrier deteriotates over time and physical damage taken.
<COL ffdc78>LV UP Further increases the stat bonus and duration
of the barrier.</COL>",ui\00_message\dragon_skill\skill_info.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,9
10,DRAGON_SKILL_INFO_11,"敵の＜鎧硬化＞に合わせて
吹き飛ばし力が増加し、鎧硬化状態を解除しやすくなる
鎧硬化状態を解除すると、敵が体勢を崩している間
筋力／魔力／疲労攻力／チャンス攻力が増加する追加効果が発動する
<COL ffdc78>LV UP毎にステータスアップ効果がより上昇</COL>","Blow power increases in response to ""Armor Harden"" state triggered
by enemy, making it easier to break through their armor. When the
enemy is in the staggered state, Strength/Magick/Exhaust Attack/
Chance Attack increase.
<COL ffdc78>LV UP Further increases the stat bonus.</COL>",ui\00_message\dragon_skill\skill_info.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,10
11,DRAGON_SKILL_INFO_12,"ボス撃破時に獲得できる宝箱報酬が増加する
<COL ffdc78>LV UP毎に報酬がより増加</COL>","Increases the reward from chests after killing the boss.
<COL ffdc78>LV UP Further increases the reward.</COL>",ui\00_message\dragon_skill\skill_info.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,11
12,DRAGON_SKILL_INFO_13,"黄金竜の攻撃により、敵の特定の攻撃を中断する
攻撃を中断すると＜破滅の力＞の蓄積量が減少する
<COL ffdc78>LV UP毎に破滅の力の減少量がより増加</COL>","The Golden Dragon attacks, trying to interrupt a specific
attack of the enemy. If the interruption succeeds, the
""Power of Destruction"" is lowered.
<COL ffdc78>LV UP Further decreases the Destruction power.</COL>",ui\00_message\dragon_skill\skill_info.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,12
0,DRAGON_SKILL_NAME_1,竜の加護,Dragon Protection,ui\00_message\dragon_skill\skill_name.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,0
1,DRAGON_SKILL_NAME_2,ビーストスレイヤー,Beast Slayer,ui\00_message\dragon_skill\skill_name.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,1
2,DRAGON_SKILL_NAME_3,デーモンスレイヤー,Demon Slayer,ui\00_message\dragon_skill\skill_name.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,2
3,DRAGON_SKILL_NAME_4,ゴーストスレイヤー,Spirit Slayer,ui\00_message\dragon_skill\skill_name.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,3
4,DRAGON_SKILL_NAME_5,ドラゴンスレイヤー,Dragon Slayer,ui\00_message\dragon_skill\skill_name.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,4
5,DRAGON_SKILL_NAME_6,精霊竜の抱擁,Embrace of the Spirit Dragon,ui\00_message\dragon_skill\skill_name.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,5
6,DRAGON_SKILL_NAME_7,精霊竜の反撃,Counterattack of the Spirit Dragon,ui\00_message\dragon_skill\skill_name.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,6
7,DRAGON_SKILL_NAME_8,火竜の浄化,Purification of the Fire Dragon,ui\00_message\dragon_skill\skill_name.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,7
8,DRAGON_SKILL_NAME_9,火竜の魔防壁,Demon Bulwark of the Fire Dragon,ui\00_message\dragon_skill\skill_name.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,8
9,DRAGON_SKILL_NAME_10,白竜の防壁,Bulwark of the White Dragon,ui\00_message\dragon_skill\skill_name.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,9
10,DRAGON_SKILL_NAME_11,白竜の刃,Edge of the White Dragon,ui\00_message\dragon_skill\skill_name.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,10
11,DRAGON_SKILL_NAME_12,竜の祝福,Dragon Blessing,ui\00_message\dragon_skill\skill_name.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,11
12,DRAGON_SKILL_NAME_13,黄金竜の一撃,Blow of the Golden Dragon,ui\00_message\dragon_skill\skill_name.gmd,\dragon_skill_info.arc,dragon_skill_info.arc,12
0,EVENT_NAME_st0423ev000,立ちはだかるオーク,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,0
1,EVENT_NAME_st0423ev005,オーク撃破,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,1
2,EVENT_NAME_st0201ev000,白竜神殿の人々,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,2
3,EVENT_NAME_st0201ev005,テル村への使い,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,3
4,EVENT_NAME_st0100ev010,小競り合い,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,4
5,EVENT_NAME_st0100ev015,ゲルト登場,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,5
6,EVENT_NAME_st0201ev015,戻らない調査団,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,6
7,EVENT_NAME_st0576ev000,溶命炉の番人,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,7
8,EVENT_NAME_st0576ev005,調査団の救助,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,8
9,EVENT_NAME_st0201ev025,アークからの帰還,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,9
10,EVENT_NAME_st0100ev020,メイリーフの捜索,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,10
11,EVENT_NAME_st0401ev000,トロール登場,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,11
12,EVENT_NAME_st0401ev010,メイリーフの救出,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,12
13,EVENT_NAME_st0414ev005,キノザの温泉,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,13
14,EVENT_NAME_st0100ev025,リンウッドの墓,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,14
15,EVENT_NAME_st0201ev035,グリッテン砦への救援,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,15
16,EVENT_NAME_st0417ev020,ガルム撃退,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,16
17,EVENT_NAME_st0201ev040,レオの悩み,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,17
18,EVENT_NAME_st0403ev000,占拠された古城,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,18
19,EVENT_NAME_st0403ev010,ベヘモット討伐,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,19
20,EVENT_NAME_st0100ev030,謎の襲撃者,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,20
21,EVENT_NAME_st0100ev035,キースヒルトとの再会,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,21
22,EVENT_NAME_st0201ev045,イリスからの伝言,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,22
23,EVENT_NAME_st0408ev000,イリスとメイリーフ,,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,23
