0,,"よう、ガーゴイルの駆除は進んでるか？
石化下しは忘れず持っていけよ！
石呪は見た目以上に厄介だからな――",,ui\00_message\quest\q60208000.gmd,\quest\q60208000.arc,q60208000.arc,6,Scherzo
0,,"おっ、ガーゴイルを駆除してきてくれたんだな！
ご苦労さん！",,ui\00_message\quest\q60208000.gmd,\quest\q60208000.arc,q60208000.arc,7,Scherzo
0,,"駆除してきてもらって早々に悪いが
実はあそこはガーゴイルを引き付けやすい環境に
なってるみたいなんだよなぁ
これまでも何度も駆除してるんだが――",,ui\00_message\quest\q60208000.gmd,\quest\q60208000.arc,q60208000.arc,8,Scherzo
0,,"今回はお前に駆除してきてもらったが
またすぐに別の群れが棲みつくだろう",,ui\00_message\quest\q60208000.gmd,\quest\q60208000.arc,q60208000.arc,9,Scherzo
0,,"だが、隊としては根気強く
駆除を繰り返していく方針だ
お前も再びガーゴイルの群れを見かけることがあれば
駆除を心がけてくれ！",,ui\00_message\quest\q60208000.gmd,\quest\q60208000.arc,q60208000.arc,10,Scherzo
0,,"おっ、もう行ってくれる気になったのか！
――いや、ほんとに大丈夫か？
もう少し時間をかけて覚悟を固めてもいいんだぞ",,ui\00_message\quest\q60208001.gmd,\quest\q60208001.arc,q60208001.arc,0,Scherzo
0,,"ま、お前が大丈夫っていうんなら
俺としてはありがたいこと
この上ないんだけどな！",,ui\00_message\quest\q60208001.gmd,\quest\q60208001.arc,q60208001.arc,1,Scherzo
0,,"念のためだ、もう一度説明しておくぞ
場所はおなじみの《罪人の修獄》だ
勝手に鍵が開いてた、あの墓場だよ",,ui\00_message\quest\q60208001.gmd,\quest\q60208001.arc,q60208001.arc,2,Scherzo
0,,"調査に行った隊士の話では
女の笑い声があちこちから聞こえてきたそうだ――
繰り返すが――誰も居るはずがない墓地で、だぞ！",,ui\00_message\quest\q60208001.gmd,\quest\q60208001.arc,q60208001.arc,3,Scherzo
0,,"ううっ、話してるだけで寒気がしてきた――
こんな話を副隊長にするわけにはいかないからな
お前だけが頼りだ！
それじゃ、任せたぞ！",,ui\00_message\quest\q60208001.gmd,\quest\q60208001.arc,q60208001.arc,4,Scherzo
0,,"あの件はどうなった？
ほら、《罪人の修獄》で
女の笑い声が聞こえてきたってやつ――",,ui\00_message\quest\q60208001.gmd,\quest\q60208001.arc,q60208001.arc,5,Scherzo
0,,"い、いや、急ぐことはないぞ！
こういうことには覚悟が必要だからな――
俺もよーくわかってる！
無理はしなくていいからな！",,ui\00_message\quest\q60208001.gmd,\quest\q60208001.arc,q60208001.arc,6,Scherzo
0,,"おお、無事に帰ってきてくれてよかった！
ほんっとうによかった！",,ui\00_message\quest\q60208001.gmd,\quest\q60208001.arc,q60208001.arc,7,Scherzo
0,,"いやぁ、送り出したはいいものの
万が一お前が帰ってこなかったら
次は俺が様子を見に行かなきゃなって考えたら
気分が重くなってな！",,ui\00_message\quest\q60208001.gmd,\quest\q60208001.arc,q60208001.arc,8,Scherzo
0,,"で、《罪人の修獄》の中で笑ってたのは
何だったんだ？
――女の幽霊！
やっぱり出たんだな！",,ui\00_message\quest\q60208001.gmd,\quest\q60208001.arc,q60208001.arc,9,Scherzo
0,,"ふむ、冤罪を示唆するような
不穏な手記が遺されていたのか――",,ui\00_message\quest\q60208001.gmd,\quest\q60208001.arc,q60208001.arc,10,Scherzo
0,,"あの墓地に葬られているのは
大罪を犯して獄死した囚人ばかりだと聞いていたが
冤罪に問われ、無念のうちに没した者も
いたのかも知れんな――",,ui\00_message\quest\q60208001.gmd,\quest\q60208001.arc,q60208001.arc,11,Scherzo
0,,"気味の悪い任務を引き受けてもらって悪いな
俺からの感謝の気持ちとして
これを受け取ってくれ
また何かあったら、よろしくな！",,ui\00_message\quest\q60208001.gmd,\quest\q60208001.arc,q60208001.arc,12,Scherzo
0,,"あらっ、ガルドノック砦の様子を
見て来てくれるの？",,ui\00_message\quest\q60209000.gmd,\quest\q60209000.arc,q60209000.arc,0,Sunny
0,,"それじゃ、あたしが今知ってることを
全部教えておくからね！
役に立つことかはわかんないけど、情報は
ちょっとでもあった方がいいでしょ！",,ui\00_message\quest\q60209000.gmd,\quest\q60209000.arc,q60209000.arc,1,Sunny
0,,"最近、ガルドノック砦の方が騒がしくてね
遠目に様子を探ったりもしてるんだけど
オークたちがやけに出たり入ったりしてるんだよ",,ui\00_message\quest\q60209000.gmd,\quest\q60209000.arc,q60209000.arc,2,Sunny
0,,"もしかしたら中で何か起こってるかも知れないよ
こっちに攻め込んでくる準備をしてるとかさ",,ui\00_message\quest\q60209000.gmd,\quest\q60209000.arc,q60209000.arc,3,Sunny
0,,"あたしも気になってるんだ
中を見てきたら、どんな様子だったか
教えてね",,ui\00_message\quest\q60209000.gmd,\quest\q60209000.arc,q60209000.arc,4,Sunny
0,,"ガルドノック砦の中で
オークたちが変なことしてないといいんだけど――",,ui\00_message\quest\q60209000.gmd,\quest\q60209000.arc,q60209000.arc,5,Sunny
0,,"こっちに攻め込んでくる準備だとか
魔獣を飼い慣らしてるとか――
やだやだ、考え始めるとキリがないね",,ui\00_message\quest\q60209000.gmd,\quest\q60209000.arc,q60209000.arc,6,Sunny
0,,"ええっ！
ガルドノック砦に
侵食されたオークが居たのかい！",,ui\00_message\quest\q60209000.gmd,\quest\q60209000.arc,q60209000.arc,7,Sunny
0,,"侵食って、前にローテスの浜辺に
流れ着いたっていう魔物みたいに
体が蝕まれた状態になるんだろ？",,ui\00_message\quest\q60209000.gmd,\quest\q60209000.arc,q60209000.arc,8,Sunny
0,,"この辺りにも侵食の魔の手が迫ってるんだね――
オークや魔物だけでも大変なのに
その上に侵食の心配もしなきゃいけないなんて――",,ui\00_message\quest\q60209000.gmd,\quest\q60209000.arc,q60209000.arc,9,Sunny
0,,"それにしても、最近オークが頻繁に出入りしてたのは
侵食されたヤツを何とか助けようと
仲間を呼び寄せたりしてたってことなのかね",,ui\00_message\quest\q60209000.gmd,\quest\q60209000.arc,q60209000.arc,10,Sunny
0,,"仲間を見捨てないなんて
オークも意外といいとこあるのかもしれないね――",,ui\00_message\quest\q60209000.gmd,\quest\q60209000.arc,q60209000.arc,11,Sunny
0,,"人間はさ、問題が起こると見捨てたり
自分たちから切り離して考えがちだろ
この村やザンドラの辺りみたいにさ",,ui\00_message\quest\q60209000.gmd,\quest\q60209000.arc,q60209000.arc,12,Sunny
0,,"――なんて、ちょっと考えすぎたみたいだ
さて、調査してきてもらったからには
お礼を弾まないとね！
これ、持って行っておくれよ！",,ui\00_message\quest\q60209000.gmd,\quest\q60209000.arc,q60209000.arc,13,Sunny
0,,"ああ、行ってくれるのかい！
ありがとう！
それじゃ、くわしく説明させてもらうよ",,ui\00_message\quest\q60209001.gmd,\quest\q60209001.arc,q60209001.arc,0,Sunny
0,,"あたしの見た気持ちの悪い魔物なんだけどさ
あいつは《ガルドノック廃水廊》から
出てきたんじゃないかって思うんだよ",,ui\00_message\quest\q60209001.gmd,\quest\q60209001.arc,q60209001.arc,1,Sunny
0,,"だって、今まであんなの一度も
見たことも聞いたことも無かったんだから！",,ui\00_message\quest\q60209001.gmd,\quest\q60209001.arc,q60209001.arc,2,Sunny
0,,"最近ここらで変わったことといえば
《ガルドノック廃水廊》が開いたこと以外
ないでしょ？",,ui\00_message\quest\q60209001.gmd,\quest\q60209001.arc,q60209001.arc,3,Sunny
0,,"だから、あの魔物の根城になってないかを
見てきてほしいんだ
もしも棲みついてたら追い払っておくれよ",,ui\00_message\quest\q60209001.gmd,\quest\q60209001.arc,q60209001.arc,4,Sunny
0,,"あたし、あの気持ちの悪い魔物は
《ガルドノック廃水廊》から出てきたんだと思うんだ
女の勘ってやつだよ",,ui\00_message\quest\q60209001.gmd,\quest\q60209001.arc,q60209001.arc,5,Sunny
0,,"やっぱりあの魔物
ガルドノック廃水廊から出てきてたんだね！",,ui\00_message\quest\q60209001.gmd,\quest\q60209001.arc,q60209001.arc,6,Sunny
0,,"あんたが倒してくれたんなら
もう村の近くであの顔を見ることはないかな
安心したよ！　ありがとう！",,ui\00_message\quest\q60209001.gmd,\quest\q60209001.arc,q60209001.arc,7,Sunny
0,,"ふふ、それにしても
自分の予測が当たると何だかいい気分だね",,ui\00_message\quest\q60209001.gmd,\quest\q60209001.arc,q60209001.arc,8,Sunny
0,,"覚者様、黒大鷲が舞い降りた
《狂信者の潜伏地》は、かつて錬金の術に
傾倒した者たちが我流にて研究を
繰り返していたという場所です",,ui\00_message\quest\q60210000.gmd,\quest\q60210000.arc,q60210000.arc,0,Dian
0,,"彼らが姿を消した後
かの地は捨て置かれております
――しかし、災いを繰り返させぬためにも
いつか神殿からの調査が入ることになるでしょう",,ui\00_message\quest\q60210000.gmd,\quest\q60210000.arc,q60210000.arc,1,Dian
0,,"その日まで、かの地をそのままに
残しておきたいのです
どうか力をお貸しください",,ui\00_message\quest\q60210000.gmd,\quest\q60210000.arc,q60210000.arc,2,Dian
0,,"覚者様、黒大鷲が舞い降りたのは
この場より北西の方角でございます",,ui\00_message\quest\q60210000.gmd,\quest\q60210000.arc,q60210000.arc,3,Dian
0,,"いつか神殿からの調査が入るその日まで
あの場をそのままに残しておくため
どうか力をお貸しください",,ui\00_message\quest\q60210000.gmd,\quest\q60210000.arc,q60210000.arc,4,Dian
0,,"覚者様、大黒鷲を討伐していただき
お礼申し上げます",,ui\00_message\quest\q60210000.gmd,\quest\q60210000.arc,q60210000.arc,5,Dian
0,,"いつかこの地にも神殿の方々による調査が入り
そして安全が認められれば
再び人々が集う日もくることでしょう",,ui\00_message\quest\q60210000.gmd,\quest\q60210000.arc,q60210000.arc,6,Dian
0,,"それまでは私がこの地を守り
神殿と覚者様のお役に立とうと思います",,ui\00_message\quest\q60210000.gmd,\quest\q60210000.arc,q60210000.arc,7,Dian
0,,"覚者様、魔物が騒いでいるのは
《叫びの竪穴》でございます",,ui\00_message\quest\q60210001.gmd,\quest\q60210001.arc,q60210001.arc,0,Dian
0,,"井戸の中で魔物同士の争いが続けば
いずれ居場所を無くした魔物たちが
地上に溢れ出してくることは
想像にかたくありません",,ui\00_message\quest\q60210001.gmd,\quest\q60210001.arc,q60210001.arc,1,Dian
0,,"どうか今のうちに中の様子を確認し
騒ぎを起こしている魔物の退治を
お願いいたします",,ui\00_message\quest\q60210001.gmd,\quest\q60210001.arc,q60210001.arc,2,Dian
0,,"《叫びの竪穴》に新たな魔物が巣食い
元々あの井戸に棲みついていた魔物たちと
争いあっているようです",,ui\00_message\quest\q60210001.gmd,\quest\q60210001.arc,q60210001.arc,3,Dian
0,,"行き場を無くした魔物が
地上に溢れ出してくる前に
どうか争いを鎮めていただきたいのです",,ui\00_message\quest\q60210001.gmd,\quest\q60210001.arc,q60210001.arc,4,Dian
0,,"覚者様、無事のご帰還何よりです
井戸で暴れる魔物の咆哮、この祠にまで
遠く響いておりました",,ui\00_message\quest\q60210001.gmd,\quest\q60210001.arc,q60210001.arc,5,Dian
0,,"覚者様のお力により
魔物同士の諍いは一先ずの結着を見せたようです",,ui\00_message\quest\q60210001.gmd,\quest\q60210001.arc,q60210001.arc,6,Dian
0,,"此度もお力添えをいただき
感謝の念に堪えません
覚者様へのご恩に適うものではございませんが
こちらはお礼の品でございます",,ui\00_message\quest\q60210001.gmd,\quest\q60210001.arc,q60210001.arc,7,Dian
0,,"ふふ、勇敢なる覚者さん
討伐に行ってくれるのね",,ui\00_message\quest\q60211000.gmd,\quest\q60211000.arc,q60211000.arc,0,Nadia
0,,"鎧が暴れている場所は
この町から東の方角よ
死体が多くて《屍のすすり泣く地》なんて
呼ばれているところなの――",,ui\00_message\quest\q60211000.gmd,\quest\q60211000.arc,q60211000.arc,1,Nadia
0,,"あの場に染みついた死臭に導かれて
やってきた""空っぽのお客さん""――
貴方の手で動きを止めてやって",,ui\00_message\quest\q60211000.gmd,\quest\q60211000.arc,q60211000.arc,2,Nadia
0,,"《屍のすすり泣く地》は
ここから東へ行ったところよ",,ui\00_message\quest\q60211000.gmd,\quest\q60211000.arc,q60211000.arc,3,Nadia
0,,"ふふ、貴方も屍の仲間入りをしないように
気を付けてね――",,ui\00_message\quest\q60211000.gmd,\quest\q60211000.arc,q60211000.arc,4,Nadia
0,,"あら、お帰りなさい
無事あの鎧の動きを止めてくれたようね",,ui\00_message\quest\q60211000.gmd,\quest\q60211000.arc,q60211000.arc,5,Nadia
0,,"これで、この町に
""空っぽのお客さん""が来ることは無さそう――",,ui\00_message\quest\q60211000.gmd,\quest\q60211000.arc,q60211000.arc,6,Nadia
0,,"探求者たちの夢が集うここゾマを
守ってくれて感謝するわ
その力強さ――ロマンを感じるわ――ふふふ",,ui\00_message\quest\q60211000.gmd,\quest\q60211000.arc,q60211000.arc,7,Nadia
0,,"ふふふ、本当に人が良いんだから――
会ったこともない若者の安否が
気になるなんてね",,ui\00_message\quest\q60211001.gmd,\quest\q60211001.arc,q60211001.arc,0,Nadia
0,,"あの人たちが向かったのは《幽玄の霊堂》よ
眠りにつくことができない死者たちが
彷徨い続ける古いカタコンベ――",,ui\00_message\quest\q60211001.gmd,\quest\q60211001.arc,q60211001.arc,1,Nadia
0,,"もしもあの人たちを見つけたら
あのカタコンベは古すぎて
盗れる物なんて残ってないって伝えてあげて
生きていたらの話だけどね",,ui\00_message\quest\q60211001.gmd,\quest\q60211001.arc,q60211001.arc,2,Nadia
0,,"《幽玄の霊堂》に葬られているのは
かなり前の年代の死者たちよ
彼らの命があった頃には
ザンドラはこんな姿ではなかったでしょうね",,ui\00_message\quest\q60211001.gmd,\quest\q60211001.arc,q60211001.arc,3,Nadia
0,,"あら、あの若者たち
怖気づいて逃げ出していたのね",,ui\00_message\quest\q60211001.gmd,\quest\q60211001.arc,q60211001.arc,4,Nadia
0,,"心に秘めたものを持たない人たちが
無事にこのザンドラ東部を抜けて
元いた場所に帰ることができるのかしら――",,ui\00_message\quest\q60211001.gmd,\quest\q60211001.arc,q60211001.arc,5,Nadia
0,,"それはそうと、見知らぬ若者を
助けに行くお人よしさん
これは私からのお礼よ",,ui\00_message\quest\q60211001.gmd,\quest\q60211001.arc,q60211001.arc,6,Nadia
0,,"このゾマでは中々見られないものを
見せてくれたことに対する、ね――",,ui\00_message\quest\q60211001.gmd,\quest\q60211001.arc,q60211001.arc,7,Nadia
0,,"ディアマンテスが滅んだ今となっても
その思想に取りつかれた者は少なくありません
いつしか再起をはかろうと
そこかしこに息を潜めているのです",,ui\00_message\quest\q60212000.gmd,\quest\q60212000.arc,q60212000.arc,0,Beatrix
0,,"今回、彼らが《メルゴダ民の住居》へと
密かに集まっているのも
何かよからぬ企てをしているに違いありません",,ui\00_message\quest\q60212000.gmd,\quest\q60212000.arc,q60212000.arc,1,Beatrix
0,,"再びこのメルゴダを過ちに
染めるわけにはまいりません
どうか彼らの企てを未然に防いでください",,ui\00_message\quest\q60212000.gmd,\quest\q60212000.arc,q60212000.arc,2,Beatrix
0,,"未だディアマンテスの思想に
傾倒する者がいる事実――
このメルゴダ居住区を管理する者として
胸を痛めているのです",,ui\00_message\quest\q60212000.gmd,\quest\q60212000.arc,q60212000.arc,3,Beatrix
0,,"一体何が彼らを破滅へと向かわせるのか――
ディアマンテスの残した呪いとでも
いうべきものなのでしょうか
《メルゴダ民の住居》へ――どうかお願いします",,ui\00_message\quest\q60212000.gmd,\quest\q60212000.arc,q60212000.arc,4,Beatrix
0,,"地上の覚者よ
ディアマンテス派残党の企てを
未然に防いでくださったことに感謝いたします",,ui\00_message\quest\q60212000.gmd,\quest\q60212000.arc,q60212000.arc,5,Beatrix
0,,"私の口から申し上げるのも辛いのですが
恐らくディアマンテスに傾倒した者たちは
まだ数多くこのメルゴダに潜んでいることでしょう",,ui\00_message\quest\q60212000.gmd,\quest\q60212000.arc,q60212000.arc,6,Beatrix
0,,"また彼らが集うことがあれば
どうか再びその力を貸してください",,ui\00_message\quest\q60212000.gmd,\quest\q60212000.arc,q60212000.arc,7,Beatrix
0,,"引き受けてくださるのですね、地上の覚者よ
ならば私も、この事態の背景をご説明しましょう",,ui\00_message\quest\q60212001.gmd,\quest\q60212001.arc,q60212001.arc,0,Beatrix
0,,"かつてディアマンテスに傾倒した女性技師が
とある井戸を《秘匿の実験場》として
頻繁に出入りしていたことは、以前お話した通りです",,ui\00_message\quest\q60212001.gmd,\quest\q60212001.arc,q60212001.arc,1,Beatrix
0,,"彼女は人を――魔物に化すための研究に
夢中になっていたようなのです――
恐らくディアマンテスの成さんと
していたことを彼女なりに模したのでしょう",,ui\00_message\quest\q60212001.gmd,\quest\q60212001.arc,q60212001.arc,2,Beatrix
0,,"これは憶測に過ぎませんが
《秘匿の実験場》でもそのための実験が
繰り返されていたに違いありません",,ui\00_message\quest\q60212001.gmd,\quest\q60212001.arc,q60212001.arc,3,Beatrix
0,,"あそこには彼女に""造られた""魔物たちが
数多く眠っているはずです",,ui\00_message\quest\q60212001.gmd,\quest\q60212001.arc,q60212001.arc,4,Beatrix
0,,"今回活動しはじめた気配の主も
そのような存在でしょう
脅威であり、哀れでもあるかの者に
再びの眠りを与えてやってください――",,ui\00_message\quest\q60212001.gmd,\quest\q60212001.arc,q60212001.arc,5,Beatrix
0,,"《秘匿の実験場》には
魔物と変えられた者たちが
今も数多く眠っているはずです――",,ui\00_message\quest\q60212001.gmd,\quest\q60212001.arc,q60212001.arc,6,Beatrix
0,,"今回活動を再開したものに
再びの眠りを与えてやってください",,ui\00_message\quest\q60212001.gmd,\quest\q60212001.arc,q60212001.arc,7,Beatrix
0,,"ああ、強大な気配が
動きを止めるのを感じました
つかの間の眠りについたことでしょう",,ui\00_message\quest\q60212001.gmd,\quest\q60212001.arc,q60212001.arc,8,Beatrix
0,,"地上の覚者よ、いつもこのメルゴダの地に
手を差し伸べてくれること
心から感謝しています",,ui\00_message\quest\q60212001.gmd,\quest\q60212001.arc,q60212001.arc,9,Beatrix
0,,"少量ながら礼を用意しました
メルゴダ居住区を代表する者として
そして安らぎを与えられた者の代理人として――",,ui\00_message\quest\q60212001.gmd,\quest\q60212001.arc,q60212001.arc,10,Beatrix
0,,"準備は万端か？
よし、ではもう一度任務内容を
説明しておこう",,ui\00_message\quest\q60213000.gmd,\quest\q60213000.arc,q60213000.arc,0,Bertrand
0,,"調査対象は、この拠点から南西の
海岸沿いにある古い地下聖堂のような場所だ",,ui\00_message\quest\q60213000.gmd,\quest\q60213000.arc,q60213000.arc,1,Bertrand
0,,"俺たちは《せせらぎの地下聖堂》と
呼んでいるが――
内部に引かれた水路のせいか
一種おごそかな雰囲気が漂っている",,ui\00_message\quest\q60213000.gmd,\quest\q60213000.arc,q60213000.arc,2,Bertrand
0,,"この島には珍しく、文化的な造形物が
数多く残されているのが特徴だ
詳しく調査すれば何か得るものが
あるかもしれん",,ui\00_message\quest\q60213000.gmd,\quest\q60213000.arc,q60213000.arc,3,Bertrand
0,,"奥には危険な魔物が
潜んでいることを確認している
十分に注意して調査に向かってくれ",,ui\00_message\quest\q60213000.gmd,\quest\q60213000.arc,q60213000.arc,4,Bertrand
0,,"《せせらぎの地下聖堂》の
調査は進んでいるか？",,ui\00_message\quest\q60213000.gmd,\quest\q60213000.arc,q60213000.arc,5,Bertrand
0,,"この島には珍しく
女神像や彫刻入りの柱といった人工物が
多数残されている地下水路だ
何か得るものがあるかもしれん",,ui\00_message\quest\q60213000.gmd,\quest\q60213000.arc,q60213000.arc,6,Bertrand
0,,"内部は危険度の高い魔物が
徘徊していることを確認している
雰囲気に呑まれて気を抜かんようにな",,ui\00_message\quest\q60213000.gmd,\quest\q60213000.arc,q60213000.arc,7,Bertrand
0,,"ふむ、奥まで行っても
手がかりになりそうなものは
見つからなかったか――",,ui\00_message\quest\q60213000.gmd,\quest\q60213000.arc,q60213000.arc,8,Bertrand
0,,"だが、奥にあったという祭壇や
最深部の広場の様子からして
あの建築物が聖堂として
使われていたことはほぼ確実だろう",,ui\00_message\quest\q60213000.gmd,\quest\q60213000.arc,q60213000.arc,9,Bertrand
0,,"この島には元々、川や湖、あるいは木々――
自然の中に存在する何かを
尊ぶ文化があったのかもしれんな",,ui\00_message\quest\q60213000.gmd,\quest\q60213000.arc,q60213000.arc,10,Bertrand
0,,"おお、引き受けてくれるか！
いつも厄介な任務を任せてすまんな",,ui\00_message\quest\q60213001.gmd,\quest\q60213001.arc,q60213001.arc,0,The White Dragon
0,,"今回の討伐対象は《翼風高原》に現れた
侵食ゴアサイクロプスだが、
こいつがまた派手に侵食が進んだ個体だ",,ui\00_message\quest\q60213001.gmd,\quest\q60213001.arc,q60213001.arc,1,The White Dragon
0,,"""侵食核""って呼び名らしいが
とにかく頭にイバラみたいなものを
２本も生やしてやがる",,ui\00_message\quest\q60213001.gmd,\quest\q60213001.arc,q60213001.arc,2,The White Dragon
0,,"あれは体に回りきった毒が
行き場を失って噴き出したような状態だ
危険度のバロメータと考えても良いだろう",,ui\00_message\quest\q60213001.gmd,\quest\q60213001.arc,q60213001.arc,3,The White Dragon
0,,"侵食が進んだ魔物の凶暴性が増すのは
前に説明した通りだが
あそこまで侵食が進んでしまうと
もう別種の魔物と考えた方がいいだろうな――",,ui\00_message\quest\q60213001.gmd,\quest\q60213001.arc,q60213001.arc,4,The White Dragon
0,,"警戒しておくに越したことはない相手だ
いつもの討伐任務だと思わずに
気を緩めることのないよう向かってくれ",,ui\00_message\quest\q60213001.gmd,\quest\q60213001.arc,q60213001.arc,5,The White Dragon
0,,"《翼風高原》に現れた
侵食ゴアサイクロプスはもう見たか？",,ui\00_message\quest\q60213001.gmd,\quest\q60213001.arc,q60213001.arc,6,The White Dragon
0,,"体に生えたイバラのようなものは
""侵食核""といって、体に回りきった毒が
行き場を失って噴き出したような状態だ",,ui\00_message\quest\q60213001.gmd,\quest\q60213001.arc,q60213001.arc,7,The White Dragon
0,,"いつもの討伐任務だと思わずに
気を緩めることのないよう討伐に向かってくれ",,ui\00_message\quest\q60213001.gmd,\quest\q60213001.arc,q60213001.arc,8,The White Dragon
0,,"あの状態になった侵食ゴアサイクロプスを
軽く倒してくるとは、さすがだな！",,ui\00_message\quest\q60213001.gmd,\quest\q60213001.arc,q60213001.arc,9,The White Dragon
0,,"今回の件で、侵食が進んだ敵が相手であっても
調査隊の戦力で討伐が
可能であるということがわかった
調査隊全体の士気向上にもつながるだろう！",,ui\00_message\quest\q60213001.gmd,\quest\q60213001.arc,q60213001.arc,10,The White Dragon
0,,"準備は万端か？
今回の討伐対象は、ただでさえ
危険度の高いベヘモットが
侵食作用によって凶暴化した相手だからな",,ui\00_message\quest\q60213002.gmd,\quest\q60213002.arc,q60213002.arc,0,Bertrand
0,,"おまけにヤツが潜む場所も
菌胞がべったりの《菌糸の襲窟》だ
抗侵薬は多めに持って損は無いぞ",,ui\00_message\quest\q60213002.gmd,\quest\q60213002.arc,q60213002.arc,1,Bertrand
0,,"本当なら俺も同行して共に戦いたいんだが
調査隊監督兼エリアマスターというのは
やりがいはあっても
こういう時に自由がききにくくてな――",,ui\00_message\quest\q60213002.gmd,\quest\q60213002.arc,q60213002.arc,2,Bertrand
0,,すまんが、任せたぞ！,,ui\00_message\quest\q60213002.gmd,\quest\q60213002.arc,q60213002.arc,3,Bertrand
0,,"おお、やってくれたか！
これでヤツも少しの間は
大人しくしていることだろう",,ui\00_message\quest\q60213002.gmd,\quest\q60213002.arc,q60213002.arc,4,Bertrand
0,,"怪我をした隊士への何よりの見舞い話になるな
エリアマスターとして
――調査隊監督として礼を言おう！",,ui\00_message\quest\q60213002.gmd,\quest\q60213002.arc,q60213002.arc,5,Bertrand
0,,"菌胞だらけの《菌糸の襲窟》に潜む
侵食ベヘモットの討伐だからな
抗侵薬は多めに持っていくにこしたことはないだろう
すまんが、任せたぞ！",,ui\00_message\quest\q60213002.gmd,\quest\q60213002.arc,q60213002.arc,6,Bertrand
