"0","","ジョブマスター：シーカー","Job Master: Seeker","ui\00_message\npc\npc_class_name.gmd","\npc\npc_common.arc","npc_common.arc","94"
"0","","エリアマスター・宿","Area Master / Inn","ui\00_message\npc\npc_class_name.gmd","\npc\npc_common.arc","npc_common.arc","95"
"0","","エリアマスター・宿","Area Master / Inn","ui\00_message\npc\npc_class_name.gmd","\npc\npc_common.arc","npc_common.arc","96"
"0","","エリアマスター","Area Master","ui\00_message\npc\npc_class_name.gmd","\npc\npc_common.arc","npc_common.arc","97"
"0","","エリアマスター","Area Master","ui\00_message\npc\npc_class_name.gmd","\npc\npc_common.arc","npc_common.arc","98"
"0","","エリアマスター","Area Master","ui\00_message\npc\npc_class_name.gmd","\npc\npc_common.arc","npc_common.arc","99"
"0","","エリアマスター・道具屋","Area Master / Item Shop","ui\00_message\npc\npc_class_name.gmd","\npc\npc_common.arc","npc_common.arc","100"
"0","","道具屋","Item Shop","ui\00_message\npc\npc_class_name.gmd","\npc\npc_common.arc","npc_common.arc","101"
"0","","復活力・ログインスタンプ","Revival Power / Login Stamp","ui\00_message\npc\npc_class_name.gmd","\npc\npc_common.arc","npc_common.arc","102"
"0","","鑑定交換","Appraisal Exchange","ui\00_message\npc\npc_class_name.gmd","\npc\npc_common.arc","npc_common.arc","103"
"0","","よろず屋","General Shop","ui\00_message\npc\npc_class_name.gmd","\npc\npc_common.arc","npc_common.arc","104"
"0","","よろず屋","General Shop","ui\00_message\npc\npc_class_name.gmd","\npc\npc_common.arc","npc_common.arc","105"
"0","","自室の管理","Room Management","ui\00_message\npc\npc_class_name.gmd","\npc\npc_common.arc","npc_common.arc","106"
"0","","戦技練習","Warfare Practice","ui\00_message\npc\npc_class_name.gmd","\npc\npc_common.arc","npc_common.arc","107"
"0","","受付","Receptionist","ui\00_message\npc\npc_class_name.gmd","\npc\npc_common.arc","npc_common.arc","108"
"0","","よろず屋","General Shop","ui\00_message\npc\npc_class_name.gmd","\npc\npc_common.arc","npc_common.arc","109"
"0","","現れしポーン","Pawn Manifest","ui\00_message\npc\npc_class_name.gmd","\npc\npc_common.arc","npc_common.arc","110"
"0","","黒呪の迷宮 案内人","Bitterblack Maze Guide","ui\00_message\npc\npc_class_name.gmd","\npc\npc_common.arc","npc_common.arc","111"
"0","","エリアマスター","Area Master","ui\00_message\npc\npc_class_name.gmd","\npc\npc_common.arc","npc_common.arc","112"
"0","","冒険ガイド・エクストリームミッション","Adventure Guide / Extreme Missions","ui\00_message\npc\npc_class_name.gmd","\npc\npc_common.arc","npc_common.arc","113"
